id,sqm,houses,pop,geometry
10,919.3931226781569,1,5,"MultiPolygon (((884742.70715947798453271 1433570.41914893197827041, 884736.11444845912046731 1433567.59266450838185847, 884731.26496446249075234 1433574.14772690366953611, 884733.86864594405051321 1433584.09580690925940871, 884731.31729990697931498 1433593.48896934418007731, 884735.92357500223442912 1433602.86276201205328107, 884744.23257030826061964 1433605.11573576228693128, 884755.96029267052654177 1433601.10195859242230654, 884767.40248149214312434 1433597.37338894978165627, 884772.2581224258756265 1433593.09377414686605334, 884772.81457537447568029 1433587.11919608572497964, 884764.7880366884637624 1433583.4432910536415875, 884756.77226900996174663 1433583.74940745183266699, 884749.31295122241135687 1433578.08094535651616752, 884745.2808263375191018 1433569.27445692289620638, 884742.70715947798453271 1433570.41914893197827041)))"
11,439.37929336261004,0,0,"MultiPolygon (((884771.87641686550341547 1433557.82522139744833112, 884779.31188613025005907 1433554.67635521176271141, 884774.4223894061287865 1433546.44104332383722067, 884767.54029497154988348 1433542.47760555800050497, 884760.11020999657921493 1433547.61748633533716202, 884757.26870289538055658 1433555.58927767863497138, 884752.13675670779775828 1433563.56726425443775952, 884755.59550106863025576 1433572.09087337460368872, 884760.18561395397409797 1433575.4916419368237257, 884766.46277981693856418 1433567.51056067738682032, 884771.87641686550341547 1433557.82522139744833112)))"
12,2595.129788145423,5,25,"MultiPolygon (((884716.02237319224514067 1433707.58746747183613479, 884711.48000143608078361 1433721.82132583972997963, 884711.53081421600654721 1433740.59364515962079167, 884716.71815827034879476 1433753.09457078715786338, 884715.60527830536011606 1433765.04368412937037647, 884723.07534952380228788 1433774.69411543640308082, 884733.36534543591551483 1433768.40878591360524297, 884745.37624521285761148 1433763.2565251081250608, 884759.10650909866672009 1433758.66847712057642639, 884771.67617039033211768 1433748.39495374565012753, 884773.93582131154835224 1433737.01159903779625893, 884761.31998202414251864 1433730.21938454266637564, 884748.72722756746225059 1433731.96004442311823368, 884742.97498030890710652 1433722.30495034111663699, 884742.37774280062876642 1433713.20476722344756126, 884729.75573276169598103 1433704.13712293445132673, 884716.02237319224514067 1433707.58746747183613479)))"
13,245.2772631412372,0,0,"MultiPolygon (((884720.93581802945118397 1433830.44832100253552198, 884712.34363995923195034 1433829.33385764458216727, 884707.7889673433965072 1433839.01682429737411439, 884718.12206112407147884 1433848.65948604117147624, 884723.83888525597285479 1433845.23084639478474855, 884728.97694496903568506 1433839.52833046996966004, 884720.93581802945118397 1433830.44832100253552198)))"
14,420.19551573786885,0,0,"MultiPolygon (((884722.73216828028671443 1433859.45535996742546558, 884710.15177295287139714 1433865.74688234063796699, 884710.75517941685393453 1433877.12245845491997898, 884725.07340704533271492 1433878.22141879610717297, 884736.50396917923353612 1433870.22643326735123992, 884737.63224495970644057 1433863.96591403638012707, 884730.73787615238688886 1433855.45166560867801309, 884722.73216828028671443 1433859.45535996742546558)))"
15,3304.0599731300026,6,30,"MultiPolygon (((884719.37506670132279396 1433888.47632963699288666, 884707.93989224766846746 1433894.76474939007312059, 884706.25749808817636222 1433907.85308649227954447, 884710.86452368192840368 1433917.51123250951059163, 884708.0230586543912068 1433925.48296304093673825, 884715.47924764174968004 1433930.01365436799824238, 884706.33604629954788834 1433936.86472462979145348, 884704.65365589479915798 1433949.95304929721169174, 884712.14064424345269799 1433965.86083981418050826, 884721.3161801821552217 1433970.95573107618838549, 884719.04270239651668817 1433977.21933631715364754, 884705.88511912513058633 1433981.80583284911699593, 884703.62396674114279449 1433992.62027575494721532, 884716.25360624107997864 1434004.53211462311446667, 884731.15209507232066244 1434008.47379058040678501, 884738.00024651328567415 1433999.92237190855666995, 884735.69135090778581798 1433993.10231653205119073, 884733.94581975706387311 1433982.86758135352283716, 884740.79243667214177549 1433973.74730372615158558, 884741.92070843721739948 1433967.48679936164990067, 884740.18595690396614373 1433961.23404366872273386, 884735.59587989177089185 1433957.83331261016428471, 884739.00995184923522174 1433949.86004034383222461, 884748.7349972891388461 1433946.4205614011734724, 884745.27781224506907165 1433938.46588572673499584, 884737.81238990765996277 1433930.52205783710815012, 884734.35212221648544073 1433921.42966848658397794, 884735.45575935987289995 1433906.06746430182829499, 884736.57941423216834664 1433898.10038237646222115, 884733.12684324639849365 1433891.85226607415825129, 884728.5398384080035612 1433889.58924141805619001, 884719.37506670132279396 1433888.47632963699288666)))"
16,11821.937439443544,23,115,"MultiPolygon (((884372.54809674574062228 1432897.88083608658052981, 884386.29868179792538285 1432900.68791159149259329, 884396.58577996981330216 1432893.26465422078035772, 884413.76745435444172472 1432894.3558132485486567, 884436.68303324095904827 1432898.27580410032533109, 884440.10641404741909355 1432893.71553381346166134, 884435.50849419727455825 1432887.47038519917987287, 884422.32590315479319543 1432882.95513101411052048, 884412.00486569141503423 1432877.86324729421176016, 884410.26078519772272557 1432868.19711573864333332, 884424.56240458867978305 1432863.03847364871762693, 884429.70673201291356236 1432859.61128217168152332, 884423.95122961152810603 1432848.81827201577834785, 884415.90370076219551265 1432837.46259887563064694, 884418.18030212540179491 1432832.33655514940619469, 884429.63116885721683502 1432831.73663815855979919, 884431.90006196312606335 1432823.76624196907505393, 884426.71409296034835279 1432811.83392831264063716, 884418.10010703338775784 1432802.75528004206717014, 884412.92955458164215088 1432796.51167144323699176, 884418.04613094555679709 1432782.84479500376619399, 884430.04341834969818592 1432772.57251664670184255, 884420.85834704572334886 1432764.06428218609653413, 884406.53664357669185847 1432761.82760532549582422, 884395.05336664686910808 1432750.48122533014975488, 884400.76261683541815728 1432744.20811200933530927, 884408.74384922080207616 1432731.10232778545469046, 884390.97560547140892595 1432724.89286389201879501, 884368.64643465424887836 1432726.09116479195654392, 884358.36701092845760286 1432736.35881250002421439, 884359.55854091525543481 1432753.42185823316685855, 884363.01278473564889282 1432760.23899877606891096, 884363.03129906894173473 1432767.06545646954327822, 884364.20894197735469788 1432779.00864873989485204, 884367.09827651374507695 1432788.67169406707398593, 884368.83311099698767066 1432794.92461708653718233, 884367.70792605006136 1432802.32304619438946247, 884360.85499025962781161 1432809.16813421528786421, 884347.09048549691215158 1432801.24121833662502468, 884335.65195525903254747 1432806.39212492806836963, 884328.80982852017041296 1432817.21931413654237986, 884328.84687049733474851 1432830.87221177201718092, 884334.59777032816782594 1432839.95860536233521998, 884327.17376906087156385 1432847.37411823915317655, 884328.92095601663459092 1432858.17799409432336688, 884340.96913078776560724 1432866.67842240282334387, 884341.57416072627529502 1432878.62314046523533762, 884351.90601101005449891 1432887.69709727028384805, 884372.54809674574062228 1432897.88083608658052981)))"
17,633.5861388072371,1,5,"MultiPolygon (((884392.0283063902752474 1432690.75742898229509592, 884386.90246858622413129 1432701.01110389945097268, 884376.04578427411615849 1432709.57368816854432225, 884386.36995027761440724 1432715.80333277396857738, 884408.13729909097310156 1432718.58869808819144964, 884414.42688837694004178 1432715.15839064167812467, 884412.69514324679039419 1432710.04319886909797788, 884405.22638060071039945 1432700.96142437378875911, 884404.63525198434945196 1432694.13650941313244402, 884402.33242490678094327 1432689.59174006385728717, 884392.0283063902752474 1432690.75742898229509592)))"
18,637.9858824787661,1,5,"MultiPolygon (((884356.37760873651131988 1432636.24191105924546719, 884355.20767835795413703 1432627.14304530434310436, 884346.62912864575628191 1432631.14845276856794953, 884342.63465203391388059 1432636.2791831661015749, 884334.0267874066485092 1432629.47600156324915588, 884325.45441225660033524 1432635.75690631591714919, 884323.76431986026000232 1432646.00128311850130558, 884327.2247489639557898 1432655.09393141325563192, 884336.95933948352467269 1432655.06752583757042885, 884347.2526666714111343 1432649.91971274022944272, 884356.4053782457485795 1432646.48162677744403481, 884356.37760873651131988 1432636.24191105924546719)))"
19,398.39449950354174,0,0,"MultiPolygon (((884398.81803635146934539 1432660.58855280256830156, 884380.48485190561041236 1432657.22499601682648063, 884370.19152358011342585 1432662.37279994389973581, 884377.08613498555496335 1432670.88725820323452353, 884390.26416825968772173 1432673.69591151713393629, 884399.43075685552321374 1432675.37768997391685843, 884404.56431207724381238 1432667.9683746681548655, 884398.81803635146934539 1432660.58855280256830156)))"
20,678.7059023343027,1,5,"MultiPolygon (((884273.57642722537275404 1432615.4180701500736177, 884268.40120053000282496 1432607.46782551682554185, 884259.23613298032432795 1432606.35494383214972913, 884246.0812282906845212 1432612.07942870468832552, 884244.39269713335670531 1432622.89269005134701729, 884247.85777777375187725 1432633.69195926538668573, 884255.88531381846405566 1432637.65231224265880883, 884270.18237013125326484 1432630.78697808459401131, 884273.57642722537275404 1432615.4180701500736177)))"
21,6615.713648629375,13,65,"MultiPolygon (((883622.71550069388467818 1432695.12568071717396379, 883615.25586659682448953 1432689.45726223289966583, 883622.66892228345386684 1432678.05946979578584433, 883632.94510198978241533 1432666.6538626526016742, 883626.59966287529096007 1432649.60483060753904283, 883605.39393333054613322 1432642.83616598835214972, 883584.80430571676697582 1432651.99442768539302051, 883567.66285731841344386 1432665.69430981832556427, 883551.08316867495886981 1432675.41051452932879329, 883550.55404468369670212 1432691.34054634673520923, 883559.75952216610312462 1432707.24398786341771483, 883572.38364639563951641 1432716.88043627236038446, 883580.9978487869957462 1432725.95895644254051149, 883587.90349713410250843 1432738.45540470047853887, 883595.38487081881612539 1432752.0880324044264853, 883599.99846753710880876 1432764.0218547317199409, 883610.32275822188239545 1432770.25131615088321269, 883619.48161429481115192 1432769.08856147644110024, 883628.63425996422301978 1432765.65031827404163778, 883638.33779426093678921 1432754.24629598227329552, 883634.28596319747157395 1432738.32879443606361747, 883625.0960472309961915 1432728.11408444307744503, 883626.77975911670364439 1432715.59418484289199114, 883630.76172905007842928 1432705.91239791782572865, 883622.71550069388467818 1432695.12568071717396379)))"
22,407.19098546821624,0,0,"MultiPolygon (((883669.67373677412979305 1432696.13529888074845076, 883675.95707617735024542 1432690.42937955842353404, 883675.36427775933407247 1432683.03558478108607233, 883666.20229883748106658 1432683.06057992950081825, 883655.91214613255579025 1432689.34631195291876793, 883647.92180425091646612 1432699.03903685370460153, 883647.93267035530880094 1432703.02115111518651247, 883650.24334378365892917 1432710.41025506658479571, 883656.53754396922886372 1432708.68644781736657023, 883663.38729484402574599 1432700.70347171160392463, 883669.67373677412979305 1432696.13529888074845076)))"
23,804.7701155599207,1,5,"MultiPolygon (((883578.19375752343330532 1432747.58395206765271723, 883574.74248620867729187 1432741.90460338513366878, 883566.73197722178883851 1432744.20198649354279041, 883565.6115867926273495 1432753.30708145652897656, 883567.92538034811150283 1432761.83391940547153354, 883567.95644988538697362 1432773.21137383370660245, 883576.56753668782766908 1432781.15213492442853749, 883592.59164789482019842 1432777.69512132275849581, 883596.0040864406619221 1432769.15265207644551992, 883594.2536030012415722 1432757.2110146963968873, 883585.08076528483070433 1432753.25391924730502069, 883578.19375752343330532 1432747.58395206765271723)))"
24,1347.6281511019915,2,10,"MultiPolygon (((883729.05885146895889193 1432844.45013195695355535, 883721.03439372684806585 1432841.62763884942978621, 883711.89572535525076091 1432850.18570016464218497, 883717.06483391975052655 1432855.86035671131685376, 883720.51607751601841301 1432861.53969840123318136, 883723.96732025418896228 1432867.21903950884006917, 883729.71835524309426546 1432876.30535937938839197, 883741.76511461508926004 1432884.23675821488723159, 883752.64180845022201538 1432883.06934790313243866, 883763.49368578428402543 1432872.80000512860715389, 883763.45956313144415617 1432860.28484098520129919, 883755.99687474966049194 1432853.47868296480737627, 883741.09010623698122799 1432846.69282401725649834, 883729.05885146895889193 1432844.45013195695355535)))"
25,3152.781756427139,6,30,"MultiPolygon (((883645.25894558744039387 1432772.4314683391712606, 883640.08981765760108829 1432766.75680707395076752, 883626.92570816783700138 1432769.06824276782572269, 883618.92607253068126738 1432775.34772284515202045, 883624.68801086826715618 1432788.41615888429805636, 883633.30374091304838657 1432798.06354359723627567, 883642.49364172271452844 1432808.27823668671771884, 883649.40081297606229782 1432821.34353904915042222, 883667.75110013911034912 1432830.96435657469555736, 883686.0967222471954301 1432838.87856408441439271, 883699.85515790886711329 1432844.52978764055296779, 883712.44041656679473817 1432839.94445190113037825, 883714.69987003784626722 1432828.56077233073301613, 883709.51834487321320921 1432818.33513770694844425, 883695.75369549368042499 1432810.40841897879727185, 883679.6907921745441854 1432799.6435911487787962, 883663.04904908733442426 1432786.60483894357457757, 883645.25894558744039387 1432772.4314683391712606)))"
26,4947.807917045429,9,45,"MultiPolygon (((883714.85658814397174865 1432886.01677352329716086, 883696.57151854736730456 1432900.28853091923519969, 883689.71248639957047999 1432904.85824392130598426, 883679.96706941572483629 1432900.90270898165181279, 883671.92554214422125369 1432891.82265012059360743, 883665.06030110327992588 1432894.11688462132588029, 883659.34340729424729943 1432897.54573651193641126, 883654.15566423418931663 1432885.04464025516062975, 883642.69392809690907598 1432881.66267041442915797, 883638.70266061939764768 1432887.93119258456863463, 883631.8545011761598289 1432896.48301334260031581, 883620.42071931448299438 1432903.34072701260447502, 883611.8422789282631129 1432907.34627226484008133, 883605.5574293106328696 1432912.48330673156306148, 883617.59799454791937023 1432918.13918289542198181, 883621.07564994576387107 1432933.48930808994919062, 883627.39466279884800315 1432940.8674275754019618, 883638.87191358499694616 1432949.93808923149481416, 883654.34197305992711335 1432953.30911020771600306, 883667.50291994772851467 1432949.859945586649701, 883685.22309871879406273 1432938.43410211428999901, 883700.66522079496644437 1432931.56547589506953955, 883706.37124910566490144 1432924.15453924750909209, 883719.51824217836838216 1432915.58555560698732734, 883726.93903446896001697 1432907.03219271264970303, 883728.0361774523044005 1432889.39407621836289763, 883721.1476596905849874 1432883.15523801185190678, 883714.85658814397174865 1432886.01677352329716086)))"
27,1542.939401820302,3,15,"MultiPolygon (((883587.4282719778129831 1432564.37989403679966927, 883594.29511850606650114 1432562.65451105032116175, 883597.71223818534053862 1432555.81862805411219597, 883595.38757556234486401 1432543.30961797456257045, 883591.92387138679623604 1432533.07923336047679186, 883580.46824881783686578 1432531.97274348186329007, 883563.28791943367104977 1432531.45076592825353146, 883551.84316786751151085 1432534.32641446101479232, 883547.29633519996423274 1432546.85418944526463747, 883545.04311470233369619 1432560.51345781562849879, 883555.94474597193766385 1432568.44800502387806773, 883565.66695241292472929 1432563.87042277073487639, 883575.40469113015569746 1432564.98159664543345571, 883587.4282719778129831 1432564.37989403679966927)))"
28,1882.5337364277802,3,15,"MultiPolygon (((883607.09472612757235765 1432636.57385925343260169, 883623.69772865087725222 1432635.39078747294843197, 883629.97641545371152461 1432627.9782303711399436, 883632.23741816042456776 1432617.16336384718306363, 883632.20326618384569883 1432604.64812092389911413, 883629.88792896666564047 1432595.55237413942813873, 883618.99718764645513147 1432591.59994046692736447, 883615.01986405160278082 1432602.98837755899876356, 883608.14991845679469407 1432603.5760066956281662, 883604.11204284732230008 1432592.77832428831607103, 883597.226567562087439 1432587.67720509320497513, 883593.20576921640895307 1432583.13714585127308965, 883584.59465058334171772 1432575.19634039024822414, 883574.86623308912385255 1432577.49841641029343009, 883570.30231552582699805 1432583.76855010422877967, 883568.03355932526756078 1432591.73905493086203933, 883580.07576912047807127 1432597.96384940552525222, 883593.8374025640077889 1432604.75283143226988614, 883594.99973368225619197 1432611.0073278162162751, 883598.47275010100565851 1432624.65094079985283315, 883598.48983134492300451 1432630.90856042504310608, 883607.09472612757235765 1432636.57385925343260169)))"
