"polygon_id","total_volume","total_length"
193,38.429170867398,12
195,222.641351379577,66.5
1008,136.797654347112,51
1009,111.436668902338,74
1011,395.250191467239,157.5
774,78.7081311018412,19.5
777,83.1569800264969,43
776,47.6896262570816,16
775,23.6782818934399,10.5
712,1543.79565113032,488
734,424.048367470932,96.5
770,67.5347775584663,54
1065,779.767648829114,235
881,830.241365684933,203
1444,830.078089345283,226.5
1487,277.281907453104,100.5
470,51.8227348606787,20
1452,40.7324899570206,21.5
1329,1194.44204940445,380
1330,26.2897717889176,17
427,92.5676762989556,29
509,420.819784671566,120
361,3.55215003245559,3
362,171.420278211249,114
950,467.594101708175,146
946,31.7443427842688,16.5
626,62.4045252970602,39.5
630,118.706385819755,59
631,45.6922569709395,20.5
949,155.473226978688,86.5
628,119.435940826478,56.5
645,55.0012538860202,21
622,162.975706675713,76
657,65.8016544508052,28.5
621,241.841398924811,87
640,52.2636265114104,42.5
643,122.639421335132,64
639,64.4567449952553,46
934,70.9927329790538,47
961,105.383835788744,54.5
658,41.4243819139027,27
659,154.540147838734,92
963,249.537458391862,109
174,168.663272249406,87
969,128.331188326936,126
970,276.170772162708,152.5
855,41.2404936835863,28.5
853,41.1576639121869,20.5
854,23.8300422449835,19.5
976,306.574706710995,141
849,152.110218257259,75.5
845,283.53473795798,138.5
981,67.1952747417069,40.5
172,499.382050481531,84.5
201,108.72385144473,45.5
156,67.1661286846134,29
161,54.5923706864647,39
987,86.0062513995096,43
989,372.519960532683,183
1005,115.177022348302,89.5
164,27.7616826857611,18
1000,169.613862498505,60
993,23.5029490674883,12.5
1506,98.8322168259296,51.5
655,74.9691834034522,45.5
1508,182.514676815172,91
1510,130.90134222599,71.5
1511,99.8908342102507,50
1015,88.483981409342,47.5
1563,183.072409736169,73.5
223,55.5395465993568,23.5
217,31.2474476174841,17
222,34.9869407288044,22
216,33.2116613976195,20
246,23.868064168732,17.5
245,25.8395866885052,17
243,22.3894446884872,15
717,90.9604945643549,25.5
739,307.923708512743,127.5
15,152.560403304014,32
768,780.541732274851,196.5
276,23.990246513545,10.5
1248,223.635559577787,81
1263,231.207961851277,86
275,21.6961151698396,9
1252,276.102597515476,121
592,10.2980167209557,9.5
122,58.0481097723119,19.5
565,21.7875875344694,15.5
564,28.5619677080979,19.5
294,40.4640737775424,29.5
587,15.3175281738585,15
562,15.5416811393178,16
561,9.68940372470473,13
560,7.58303052316844,11
282,27.9028147604835,18
559,8.65729442102895,11.5
283,21.6061665331426,16.5
548,18.5327393173116,14.5
543,47.5698587415934,39.5
545,101.577760127621,47
1058,755.028591585689,223.5
1059,213.457969137535,65.5
1462,67.8438475019075,42
1449,168.649241178323,101
1461,72.4301180145576,31.5
325,193.337350039784,108.5
389,42.0733884367773,22
388,17.0694894327322,12
93,25.8640997812826,20.5
1094,159.001685602492,98.5
1070,26.5731829700857,18
491,51.9848546077433,34
1084,58.2490561163853,38
1067,60.9482345585426,34
459,92.4203477949582,54.5
460,351.710334070717,120.5
1068,64.1742032868802,45.5
130,284.88601284202,133.5
120,123.638377355687,62.5
455,359.230281016089,121.5
464,198.101309364796,84
463,129.763794893353,75.5
806,248.693408506331,113
558,19.7697820138237,10
138,116.027852352338,39.5
536,97.8149863514078,39.5
494,89.2857006534008,32.5
1328,1006.97862498127,288.5
534,36.0310716907651,29.5
921,375.420822448406,194
1451,480.684607571704,149
922,585.953560391187,269.5
582,63.553041038653,24.5
6,612.302347399258,161.5
516,327.21286073161,85
1410,204.315831051301,58.5
1413,394.400107351322,102.5
439,132.114961857325,64.5
1181,21.3173220751967,12.5
1409,330.483835771184,84.5
1180,27.5023317657212,11
1137,75.1782145906139,48.5
1407,329.58444838761,67.5
1408,171.253534490343,60
305,65.8542986331744,50.5
1081,69.9533600155336,28
1406,353.35657863653,67
1405,680.517645772665,90
1331,37.6171852179811,21
540,57.7122629815868,37
1135,102.557537269037,50.5
541,37.5759446676917,29.5
1075,1062.43775525537,392.5
539,73.9279612499517,50
1469,10.3118099319127,10.5
1355,211.257767000904,48
1360,105.699438085402,36.5
508,36.9330655360607,14
579,34.9415608255759,30
1201,138.289998032822,66.5
475,51.0728821235456,20
1389,279.584905007695,106.5
831,57.7030208100554,39
1133,21.2453163868434,15.5
1132,27.9222646312338,17.5
580,16.4346689865168,9
1375,165.547279305526,96.5
344,3.95240413696574,3.5
1530,82.8520909339428,31
1374,136.407860101946,76
1383,115.706743447798,54
1534,76.0120093858313,45.5
488,149.484029876992,73.5
1535,54.8335145474669,30.5
396,56.4547854318622,27.5
372,273.402110166112,69.5
373,171.948827049073,66.5
394,66.105770820332,30
1557,642.541517677872,283
1520,825.497281167458,335.5
1527,1395.85951132001,364
1346,11.7363109000165,10
1558,214.893690290867,107
1546,1315.18549925958,443.5
1568,981.267981564682,314
363,68.4689699649935,55.5
918,233.442465666817,102
1123,54.307537085388,35
418,238.136732531457,92.5
1525,151.854820573049,62.5
1518,49.0973740888559,26
1605,240.359862217975,113.5
448,77.1761288315645,40
1177,139.319696236699,70
1188,158.863950576381,57.5
576,28.2329772527177,14.5
1183,155.493241309563,62
447,106.147047576408,52.5
1581,234.116786604045,85
1579,298.709759787513,142.5
1582,316.408112593166,116
1573,89.0112762927802,41.5
1587,35.5671045242001,22
1590,33.6650120400789,22
1165,140.599354533723,57.5
1600,72.0393587500086,33
1595,199.745598123315,74.5
1167,141.816284852702,60
1168,14.5295528546912,12
615,40.5826149152619,22
866,61.2487131717285,27.5
