polygon_id,avg_elev,avg_min_elev,avg_max_elev
370,20.20450139928747,20.072731018066406,20.533088189584237
381,20.23662705854936,20.090773380163945,20.568188465002812
379,20.292624727301643,20.0971933417364,20.584190386150954
919,20.31927258780833,20.122403455584237,20.45508357558804
152,20.35483028442879,20.14502722267213,20.615392018139847
1392,20.36127566461978,20.246482368137524,20.457830196878184
1351,20.299775906971522,20.179640855107987,20.470054575375148
1353,20.32140523737127,20.200219371102072,20.516417850147594
1369,20.27190456523762,20.177256284060178,20.434819521603885
380,20.180495082468227,20.08621987052586,20.551537665767945
148,20.358285755407614,20.118204187174314,20.557979302328143
1119,20.328240365693063,20.151001496748492,20.530387849518746
1130,20.477673503330777,20.105673926217214,20.65113503592355
1376,20.438661396103416,20.261685774630347,20.533278906905412
1173,20.261082069546568,20.158045563043334,20.557984782200233
1172,20.26696616631967,20.149731936278165,20.568537447187637
1472,20.280303444561017,20.122483093942407,20.451066495760667
832,20.291246065726646,20.04694676399231,20.521791476469772
1352,20.26242442753004,20.160907620969027,20.446743902952775
1391,20.38925368569114,20.227417026866565,20.458111537586557
1465,20.233564058939617,20.076725549865188,20.44671711168791
1174,20.241112483366756,20.12853526341096,20.467171137569515
445,20.314196208916087,20.153825835426254,20.516305101980077
1394,20.409737812653752,20.232134010955576,20.523041222841684
1198,20.496404802477038,20.248170337161504,20.63165674982844
1113,20.23818835132527,20.119242009576762,20.47037067773207
1118,20.349488910153614,20.134966459205682,20.556064413605835
356,20.13630813598633,20.00299346923828,20.426494598388672
1186,20.249182971018666,20.11893296391709,20.45008995248087
1531,20.39302220260888,20.285827302096184,20.506876694528682
1385,20.358919747985237,20.198225361285825,20.49192224634756
1386,20.310330035639744,20.196581316929237,20.45899480931899
1377,20.310095186586732,20.181356563489622,20.481369230482315
1382,20.266380571963182,20.153233251998675,20.406083793070778
1532,20.413245677947998,20.27279629914657,20.520980897157088
1349,20.233759487116778,20.14744680899161,20.37894763328411
374,20.221745564387394,20.072020824138935,20.534766564002403
1120,20.193179781474765,20.09488420637827,20.453577344379728
1126,20.189724445343018,20.100258855258716,20.421000620898077
1387,20.370195204953113,20.19710216752018,20.48592763923737
1533,20.411070051647368,20.296243622189476,20.49800000871931
1350,20.241358766101655,20.14180141630627,20.460457720075336
1540,20.48283272489495,20.283080074765266,20.600922873260778
405,20.21479614011703,20.06491547861407,20.542692504390594
1539,20.507032457987467,20.309693230523003,20.607178709242078
404,20.228395179465966,20.083243476019966,20.63713660063567
1197,20.288235417912514,20.140267532862975,20.543873004699023
403,20.275162610140715,20.0986310785467,20.596199266838305
1338,20.245802309975694,20.136029129597677,20.41010916410987
1547,20.229174999529096,20.110638559149784,20.350493061485473
1347,20.17675832718138,20.113674799601238,20.35121039738731
1381,20.22629663183334,20.13002269420218,20.359463667362295
1559,20.336702139613728,20.204913587235033,20.478420525694045
1345,20.390259742736816,20.190918335547813,20.4666418662438
401,20.12221280539908,20.02370327274974,20.495685019144197
395,20.16580713298959,20.05717449456873,20.449856261132467
446,20.158647294137992,20.08028443654378,20.42451286315918
474,20.306604305903118,20.11565860112508,20.469007432460785
1565,20.30719316771833,20.16767461624734,20.426764583832806
1348,20.21473873311823,20.116470623016358,20.333748071843928
1344,20.238393715449742,20.15922839300973,20.38949135371617
1190,20.17335003237181,20.077322078656547,20.338475336002396
1544,20.203325753373974,20.075272124838442,20.33201620532984
1516,20.181964686755578,20.077681979459186,20.306916440503755
1196,20.272338133591873,20.13460493821364,20.48427466368064
392,20.15784112930298,20.037121086120607,20.451640491485595
1341,20.238668014263286,20.137743193527747,20.35695661347488
1342,20.232549440293084,20.150762648809526,20.391250973656064
364,20.29536435573916,20.11233397375179,20.46740169766583
1343,20.249322652816772,20.149720362254552,20.459791558129446
581,20.38779768736466,20.179812265479047,20.63237347810165
369,20.186376970108242,20.0216323839475,20.382139623981633
368,20.149001578762107,20.01198846999913,20.395329756279516
1584,20.27285484769451,20.16893976126144,20.39834876558674
390,20.204307033902122,20.084168127604894,20.488925252641952
1583,20.2185148203148,20.140304709380526,20.408430495352114
397,20.08980297397923,20.01416237289841,20.400545017139333
1335,20.12364093235561,20.02929308755057,20.264554977416992
808,20.364354977842236,20.154990196228027,20.53630783518807
1125,20.21474533989316,20.099735577901203,20.35757848194667
421,20.13592073755357,20.045028677264465,20.5133833838898
107,20.293732474831973,20.072827329822616,20.4649582750657
420,20.16191408267388,20.04889346086062,20.490888091234062
419,20.10090795023187,20.028818575863912,20.397891126913468
1139,20.115459298488982,20.018771175560094,20.31000032784051
1515,20.145520413932154,20.04677908299333,20.329488418061853
80,20.368314611500708,20.13130128794703,20.53754970945161
82,20.272516795567103,20.05851423399789,20.44823842048645
108,20.2893452445666,20.101992070674896,20.487028618653614
416,20.24467298957739,20.06580230627167,20.415347602929963
1576,20.248809111745732,20.158953365526703,20.35201675013492
1175,20.162598130714834,20.015561886687777,20.287685356329924
1138,20.22845969648443,20.02899440944704,20.427940959604378
415,20.194125814998852,20.034897972555722,20.39341313979205
1517,20.23217694317853,20.10899210329409,20.360376343903717
